Feature	Intercept_mean	host_sample_type[T.tumor]_mean	Intercept_std	host_sample_type[T.tumor]_std	Intercept_hdi	host_sample_type[T.tumor]_hdi
G001456965	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016027055	-7.585960116175005	-2.61150164541605	2.846875759023117	4.759606394886104	(-12.2645, -1.93304)	(-11.5279, 6.37625)
G013978595	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000912035	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001700755	-9.63849943000001	-4.094257801119502	1.8255660366152104	3.393054948494414	(-12.5051, -5.56944)	(-11.4224, 1.18302)
G003755125	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000413935	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019141545	-6.699088332469998	-3.959312786780014	2.04123695507695	4.211227405460147	(-9.89398, -2.82886)	(-11.4537, 4.72385)
G002192535	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008727715	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006165035	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003052605	-9.256450274999976	-1.6259900182950011	0.596101074995067	1.4452020735063333	(-10.5403, -8.28854)	(-4.47856, 0.75588)
G011058205	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000332875	-8.36699750025002	-2.623837390373995	3.0651160068203764	4.323503640135996	(-13.0166, -2.48293)	(-10.6413, 5.88234)
G016766915	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G002803515	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000741605	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001457475	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016027415	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000912675	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001704615	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014109725	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003863415	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000428125	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G019249635	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002197815	-8.93590852	-5.107745491900012	0.41570924197208975	2.6530038916502354	(-9.69068, -8.12217)	(-10.6044, -1.1176)
G003053745	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006239215	-6.681165734850014	-3.929976981175002	1.9967360664867597	4.071913913915928	(-9.97018, -2.86081)	(-11.4855, 4.39675)
G008728435	-4.390957582599994	-1.0881767901999997	1.967540065051105	3.49544287489652	(-7.52728, -0.647209)	(-6.87064, 5.80145)
G011083025	-9.18831222	-1.6235659971299998	0.6241623902061635	1.3301714629773027	(-10.387, -8.01795)	(-4.28386, 0.605449)
G000367205	-10.768400351999995	-3.679700687945	2.1530176188270165	3.4311703373091142	(-14.738, -8.41691)	(-10.4141, 2.31776)
G016785885	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002803605	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000741685	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001457615	-11.04723001000001	5.832373970500003	2.4689066537114983	2.590626345023419	(-15.8993, -6.35581)	(1.21147, 11.21)
G000949655	-7.585960116175005	-2.61150164541605	2.846875759023117	4.759606394886104	(-12.2645, -1.93304)	(-11.5279, 6.37625)
G016027815	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G014131755	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001705425	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003951285	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000430225	-10.91798130699999	-3.415869427024998	1.7778199457953174	3.5169812862742766	(-14.6691, -8.37314)	(-10.5861, 2.40977)
G019355975	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002206625	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G003063245	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G006352475	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G008801675	-11.04723001000001	5.832373970500003	2.4689066537114983	2.590626345023419	(-15.8993, -6.35581)	(1.21147, 11.21)
G011090165	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G002827565	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000367925	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G016812215	-11.490672649900004	1.6360646561395027	3.6127285531488638	3.002281730494611	(-17.8199, -4.15612)	(-4.40816, 7.14968)
G000744945	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G001487165	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
G000953015	-10.391960408915011	-1.2185029909599971	5.170278292257325	4.565479286058671	(-18.464, 0.516418)	(-9.34613, 7.78667)
